Rua,Código,Descrição,Imagem do produto
1-A,010100023:,"TV LED 43"" SMART TV",
1-B,041200029:,SSD KINGSTON 480GB,
1-B,041600002:,"MONITOR 24"" VGA",
1-C,049900175:,PEN DRIVE USB 32 GB,
1-C,042100022:,PLACA DE REDE 10/100/1000,
1-C,040300064:,HDMI 10 METROS,
1-D,040300034:,CABO USB MACHO-MACHO,
1-E,041600009:,MONITOR,
1-F,SEM ITENS,SEM ITENS,
1-G,011700022:,DISJUNTOR BIFASICO 16A CURVA C,
1-H,SEM ITENS,SEM ITENS,
1-I,020100076,CAMERA IP ITSCAM 411  C/ ASSINATURA DIGITAL HDR,
1-J,SEM ITENS,SEM ITENS,
1-K ,SEM ITENS,SEM ITENS,
1-L,SEM ITENS,SEM ITENS,
1-M,049900201:,MESA CONTROLADORA COM JOYSTICK,
1-O,SEM ITENS ,SEM ITENS ,
1-P,0,SEM ITENS,
1-Q,SEM ITENS,SEM ITENS,
1-R,SEM ITENS,SEM ITENS,
2-A,020500010:,FLASH IR ITSLUX  I3016,
2-B,020500010:,FLASH IR ITSLUX  I3016,
2-C,020500010:,FLASH IR ITSLUX  I3016,
2-D,070500020:,MODULO MEDIDOR LASER,
2-E,070500020:,MODULO MEDIDOR LASER,
2-F,070500021:,MODULO MEDIDOR LASER-SEM CARCAÇA,
2-G,020500003:,FLASH IR LED ITSLUX 300 15º PUMATRONIX,
2-H,013400023:,PLACA DE SINALIZA AMARELA,
2-H,013400031:,PLACA MITS PA V1.3,
2-H,013400012:,PLACA RS-DI DISPLAY INTERNO V5.1,
2-I,020500007:,FLASH IR ITSLUX   I1516,
2-I,020500006:,FLASH IR LED ITSLUX 150 15º PUMATRONIX,
2-I,020500008:,FLASH IR ITSLUX- I6022,
2-I,020500005:,FLASH IR LED SUPERLUX 150 10º PUMATRONIX,
2-J,011200168:,CI SMD AS4C4M16SA-6TINTR MEMORIA DRAM,
2-J,011200152:,"CI SMD LPC4357FET256,551",
2-J,011200087:,CI SMD LPC2368FBD100,
2-J,011200156:,CI SMD TPS54560DDAR REGULADOR 60V 5A,
2-J,011200157:,CI SMD MCP9808T-E/MC,
2-J,011200155:,CI SMD DP83848KSQ/NOPB,
2-K,070600024:,PLACA DE SINALIZA VERDE E LARANJA,
2-K,013400036:,PLACA MITS FA V1.1,
2-L,070600023:,PLACA DE SINALIZA AMARELO,
2-M,020500003:,FLASH IR LED ITSLUX 300 15º PUMATRONIX,
2-N,013400008:,PLACA SENSOR DE ENERGIA REV 2.5,
2-O,013400028:,PLACA  ASSINADORA CAMERA,
2-O,013400059:,PLACA SINALIZA VERDE LARANJA,
2-O,013400060:,PLACA AMARELA COMPACTA,
2-P,013400013:,PLACA RS-DS DETETOR DE SEMAFORO,
2-P,013400037:,PLACA RS-LASER,
2-Q,013400030:,PLACA MITS BP V4.2,
2-Q,013400016:,PLACA DE DIGITO AMARELA,
2-R,013400016:,PLACA DE DIGITO AMARELA,
3-A,020500010:,FLASH IR ITSLUX  I3016,
3-B,070500020:,MODULO MEDIDOR LASER,
3-C,070500020:,MODULO MEDIDOR LASER,
3-D,070500020:,MODULO MEDIDOR LASER,
3-E,070500020:,MODULO MEDIDOR LASER,
3-F,070500020:,MODULO MEDIDOR LASER,
3-G,070500029:,MODULO SENSOR DE ENERGIA,
3-H,SEM ITENS,SEM ITENS,
3-I,010700105:,CABO PARA REPARO DE FONTE DELL 4.5 MM X 2.7 MM,
3-I,029900019,MECANISMO P/ FILTRO IR CUT ( IR CUT FILTER SWITCHING MECHANISM) FUJITA FC-8484M,imagens_produtos\029900019_1_WhatsApp Image 2025-03-18 at 10.05.22 (2).jpeg;imagens_produtos\029900019_2_WhatsApp Image 2025-03-18 at 10.05.22 (1).jpeg;imagens_produtos\029900019_3_WhatsApp Image 2025-03-18 at 10.05.22.jpeg
3-I,049900066:,TESTADOR DE CABO DE REDE,
3-J,070500032:,MODULO MEDIDOR MITS LOOP 2FX,
3-J,049900001:,SWITCH 8 PORTAS 10/100 MBPS,
3-K,029900018:,CHICOTE ALIMENTACAO/IO ITSCAM 400,
3-K,049900183:,SWITCH 8 PORTAS 10/100/1000 MBPS SG800Q+,
3-L,011400121:,CONECTOR P/ SEALTUBO CMRA-12 SPTF,
3-M,049900181:,SWITCH 8 PORTAS 10/100 SF800Q+ULTRA POE ANTI SURTO,
3-N,049900078:,SWITCH 8 PORTAS 10/100/1000 MBPS,
3-O,042300000:,GATEWAY CONCENTRADOR LORAWAN,
3-O,049900078:,SWITCH 8 PORTAS 10/100/1000 MBPS,
3-P,049900174:,ROTEADOR WI-FI ROUTERBOARD RB951UI-2HND,
3-Q,011400126:,CONECTOR P/ SEALTUBO CMRA-34 SPTF,
4-A,011400193:,CONECTOR P4 MACHO COM BORNE PARA CFTV,
4-A,012200022:,MODULO REGULADOR STEP-DOWN CC CV 20A,
4-A,012200021:,MODULO REGULADOR TENSAO CORRENTE STEP DOWN,
4-B,013200000:,SOLDA 1.0MM 500GR 40X60 BEST AZUL,
4-B,010500047:,BORNE DE PASSAGEM SAK 6 MM²,
4-B,010500000:,"BORNE DE PASSAGEM COR AZUL UK2,5 N BU P/N: 3003350",
4-C,010500005:,SEPARADOR DE SECAO AZUL D-UK 4/10 BU,
4-C,010500045:,BORNE TERRA 10MM ZS10-PE 1SNK508150R0000 ABB,
4-C,010500001:,BORNE ELETRICO SINDAL 112 - 600V/25A 70G PE,
4-D,010500042:,BORNE TERRA 16MM 0443036 USLKG16 N-1,
4-D,010400000:,BATERIA CR2032,
4-D,010500046:,BORNE TERRA 4MM 8WA1 011-1PG00,
4-E,010500003:,"BORNE TERRA USLKG 2,5N P/N: 0441119",
0,010500008:,BORNE AZUL 8WA1 011-1BF23,
4-F,010500002:,BORNE FUSIVEL UK 5-HESI P/N: 3004100,
4-G,019900272:,CAIXA PATOLA 35 X 60 X 75MM PBT-075,
4-G,012000019:,PROTETOR DE SURTO P/ REDE LAN P-POE60/4,
4-G,012000008:,PROTETOR DE SURTO OVRT2 40-275,
4-H,020100102:,CAMERA IP BULLET COLOR UV 2MP,
4-I,SEM ITENS,SEM ITENS,
4-J,020100102:,CAMERA IP BULLET COLOR UV 2MP,
